Rank.	 Rating 	 Team
1.	 29.192115 	 Arizona
2.	 29.114283 	 Florida
3.	 28.288199 	 Virginia
4.	 28.087064 	 Louisville
5.	 28.013927 	 Kansas
6.	 27.973311 	 Wichita_St
7.	 27.569389 	 Michigan_St
8.	 27.385207 	 Wisconsin
9.	 27.229080 	 Villanova
10.	 27.015997 	 Duke
11.	 26.916871 	 UCLA
12.	 26.859615 	 Kentucky
13.	 26.641966 	 Syracuse
14.	 26.276824 	 Creighton
15.	 26.242886 	 Pittsburgh
16.	 26.065795 	 Iowa_St
17.	 25.871898 	 Tennessee
18.	 25.823726 	 Connecticut
19.	 25.681701 	 VA_Commonwealth
20.	 25.673783 	 Oregon
21.	 25.611610 	 Ohio_St
22.	 25.371032 	 Gonzaga
23.	 25.308052 	 Michigan
24.	 25.107831 	 North_Carolina
25.	 24.997543 	 Oklahoma_St
26.	 24.950844 	 Oklahoma
27.	 24.523866 	 Cincinnati
28.	 24.323144 	 Baylor
29.	 24.165911 	 Iowa
30.	 24.078741 	 SMU
31.	 23.801277 	 New_Mexico
32.	 23.740416 	 San_Diego_St
33.	 23.268791 	 Stanford
34.	 22.961716 	 St_Louis
35.	 22.864903 	 Minnesota
36.	 22.855794 	 Arizona_St
37.	 22.767609 	 Texas
38.	 22.712867 	 Florida_St
39.	 22.600266 	 Arkansas
40.	 22.588113 	 Memphis
41.	 22.560060 	 Dayton
42.	 22.537350 	 Maryland
43.	 22.389819 	 Utah
44.	 22.352493 	 Kansas_St
45.	 22.352111 	 Massachusetts
46.	 22.238070 	 Xavier
47.	 22.029258 	 G_Washington
48.	 22.007220 	 Clemson
49.	 21.917536 	 Harvard
50.	 21.899445 	 Missouri
51.	 21.743385 	 St_John's
52.	 21.734396 	 Colorado
53.	 21.665259 	 Providence
54.	 21.639609 	 BYU
55.	 21.630860 	 NC_State
56.	 21.524490 	 Louisiana_Tech
57.	 21.512970 	 California
58.	 21.418929 	 St_Joseph's_PA
59.	 21.373878 	 Nebraska
60.	 21.247367 	 Southern_Miss
61.	 21.205682 	 Illinois
62.	 21.150974 	 LSU
63.	 21.031420 	 St_Mary's_CA
64.	 20.876548 	 Georgetown
65.	 20.710097 	 Indiana
66.	 20.283190 	 West_Virginia
67.	 20.096786 	 Miami_FL
68.	 19.856585 	 Mississippi
69.	 19.805019 	 Georgia
70.	 19.734485 	 Boise_St
71.	 19.579627 	 Marquette
72.	 19.563072 	 Texas_Tech
73.	 19.541052 	 UNLV
74.	 19.522584 	 WI_Green_Bay
75.	 19.468325 	 Manhattan
76.	 19.291658 	 Alabama
77.	 19.243380 	 New_Mexico_St
78.	 19.051618 	 UTEP
79.	 19.026610 	 SF_Austin
80.	 18.951068 	 Notre_Dame
81.	 18.944624 	 St_Bonaventure
82.	 18.942666 	 Seton_Hall
83.	 18.912403 	 Richmond
84.	 18.877389 	 Texas_A&M
85.	 18.862138 	 Iona
86.	 18.766639 	 Tulsa
87.	 18.758392 	 San_Francisco
88.	 18.719738 	 Georgia_St
89.	 18.542994 	 Washington
90.	 18.531052 	 Penn_St
91.	 18.470376 	 Wake_Forest
92.	 18.443827 	 Toledo
93.	 18.414113 	 Oregon_St
94.	 18.366042 	 Santa_Barbara
95.	 18.311269 	 N_Dakota_St
96.	 18.289352 	 Vanderbilt
97.	 18.142644 	 MTSU
98.	 17.919020 	 Butler
99.	 17.912350 	 Purdue
100.	 17.789236 	 Indiana_St
101.	 17.690700 	 Cleveland_St
