Rank.	 Rating 	 Team
1.	 31.645690 	 Kentucky 	 44.125000
2.	 29.386007 	 Wisconsin 	 46.156250
3.	 29.141569 	 Villanova 	 57.090909
4.	 29.001152 	 Arizona 	 70.529412
5.	 28.278792 	 Virginia 	 82.962963
6.	 27.534115 	 Duke 	 71.939394
7.	 27.429977 	 Gonzaga 	 75.771429
8.	 27.314415 	 Kansas 	 51.347826
9.	 26.162395 	 Oklahoma 	 11.357143
10.	 25.746195 	 North_Carolina 	 36.500000
11.	 25.560748 	 Iowa_St 	 23.000000
12.	 25.229373 	 Baylor 	 53.545455
13.	 25.111181 	 Notre_Dame 	 26.458333
14.	 24.905178 	 Utah 	 12.192308
15.	 24.688615 	 Louisville 	 56.484848
16.	 24.161787 	 Wichita_St 	 66.642857
17.	 23.971434 	 Northern_Iowa 	 43.966667
18.	 23.807024 	 Georgetown 	 50.935484
19.	 23.733074 	 Ohio_St 	 35.461538
20.	 23.673618 	 Michigan_St 	 35.406250
21.	 23.590935 	 Arkansas 	 61.647059
22.	 23.576050 	 West_Virginia 	 25.384615
23.	 23.556791 	 Xavier 	 42.000000
24.	 23.555584 	 Texas 	 31.733333
25.	 23.453350 	 SMU 	 51.548387
26.	 23.027761 	 Butler 	 52.363636
27.	 22.914037 	 VA_Commonwealth 	 6.166667
28.	 22.904325 	 Providence 	 17.227273
29.	 22.659693 	 Maryland 	 8.354839
30.	 22.409342 	 St_John's 	 67.700000
31.	 22.330145 	 Iowa 	 61.823529
32.	 22.324334 	 NC_State 	 69.903226
33.	 22.201698 	 BYU 	 63.735294
34.	 22.071520 	 Oklahoma_St 	 23.142857
35.	 22.019212 	 Georgia 	 45.937500
36.	 22.006894 	 LSU 	 39.937500
37.	 21.748794 	 Davidson 	 64.548387
38.	 21.746860 	 UCLA 	 29.233333
39.	 21.439631 	 Dayton 	 53.121212
40.	 21.416927 	 Oregon 	 24.291667
41.	 21.411391 	 Cincinnati 	 45.906250
42.	 21.325826 	 Mississippi 	 52.571429
43.	 21.235687 	 San_Diego_St 	 15.384615
44.	 21.024281 	 Florida 	 32.303030
45.	 21.009816 	 Vanderbilt 	 80.142857
46.	 20.928745 	 Texas_A&M 	 42.454545
47.	 20.822149 	 Stanford 	 54.812500
48.	 20.817310 	 Indiana 	 54.692308
49.	 20.785629 	 Miami_FL 	 31.200000
50.	 20.770267 	 Purdue 	 27.807692
51.	 20.639288 	 SF_Austin 	 33.379310
52.	 20.276869 	 Minnesota 	 71.000000
53.	 20.105504 	 TCU 	 32.733333
54.	 20.087687 	 Alabama 	 38.156250
55.	 20.021456 	 Boise_St 	 57.764706
